region_name,region_osm_id,district_name,osm_name,district_osm_id,population_LZ,ipc_stressed,ipc_crisis,ipc_emergency,ipc_catastrophic,ipc_3_4,pop_3_4,osm_id,district_name,longitude,latitude,label
Hiraan,R1720058,Bulo Burto,Bulo Burti,R1720085,138283,15763,46161,9897,0,56058,0.41,R1720085,Bulo Burto,45.537292,3.897442,
Togdheer,R1720067,Burco,Burco,R1720086,460355,124228,76622,6337,0,82959,0.18,R1720086,Burco,45.75767,9.141355,
Nugaal,R1720064,Burtinle,Burtinle,R1720087,64963,14749,17861,0,0,17861,0.27,R1720087,Burtinle,48.397309,7.801074,
Togdheer,R1720067,Buuhoodle,Buuhoodle,R1720088,83747,22963,20598,0,0,20598,0.25,R1720088,Buuhoodle,46.66026,8.459243,
Bay,R1720055,Buur Hakaba,Buur Hakaba,R1720089,197198,51485,39408,35152,0,74560,0.38,R1720089,Buur Hakaba,44.005939,2.483752,
Galgaduud,R1720056,Cabudwaaq,Cabudwaaq,R1720090,101959,33816,18472,0,0,18472,0.18,R1720090,Cabudwaaq,46.122405,5.825199,
Galgaduud,R1720056,Cadaado,Cadaado,R1720091,129588,51096,23552,0,0,23552,0.18,R1720091,Cadaado,47.035696,6.12943,
Shabelle Dhexe (Middle),R1720062,Cadale,Cadale,R1720092,86896,18817,11031,0,0,11031,0.13,R1720092,Cadale,46.326689,3.003807,
Bari,R1720054,Caluula,Caluula,R1720093,48986,11514,11339,0,0,11339,0.23,R1720093,Caluula,50.852125,11.759918,
Sool,R1720066,Caynabo,Caynabo,R1720094,59080,17554,10876,7717,0,18593,0.31,R1720094,Caynabo,46.489084,9.281374,
Sanaag,R1720065,Ceel Afweyn,Ceel Afweyn,R1720095,99950,28645,15305,8592,0,23897,0.24,R1720095,Ceel Afweyn,46.657437,10.215871,
Bakool,R1720052,Ceel Barde,Ceel Barde,R1720096,59129,9947,21428,4635,0,26063,0.44,R1720096,Ceel Barde,43.996177,4.669103,
Galgaduud,R1720056,Ceel Buur,Ceel Buur,R1720097,83610,37404,17134,1943,0,19077,0.23,R1720097,Ceel Buur,46.84057,4.759077,
Galgaduud,R1720056,Ceel Dheer,Ceel Dheer,R1720098,109870,38328,19033,4894,0,23927,0.22,R1720098,Ceel Dheer,47.150399,4.006733,
Sanaag,R1720065,Ceerigaabo,Ceerigaabo,R1720099,205318,66626,27442,13273,0,40715,0.2,R1720099,Ceerigaabo,47.752609,10.377887,
Galgaduud,R1720056,Dhuusamarreeb,Dhuusamarreeb,R1720100,144407,40560,52698,637,0,53335,0.37,R1720100,Dhuusamarreeb,46.68305,5.439779,
Bay,R1720055,Diinsoor,Diinsoor,R1720101,174932,42936,35911,35499,0,71410,0.41,R1720101,Diinsoor,42.900976,2.100368,
Gedo,R1720057,Doolow,Doolow,R1720102,41245,10394,9139,887,0,10026,0.24,R1720102,Doolow,42.139534,4.001626,
Gedo,R1720057,Ceel Waaq,El Waq,R1720103,60046,19448,10945,0,0,10945,0.18,R1720103,Ceel Waaq,41.440758,2.678821,
Nugaal,R1720064,Eyl,Eyl,R1720104,81032,16417,22477,5467,0,27944,0.34,R1720104,Eyl,49.657742,8.037493,
