period,district,district_id,TSFP,TSFP_dfid,MCHN,MCHN_dfid,BSFP,BSFP_dfid
January,Rab Dhuure,R1720131,0,0,0,0,0,0
January,Baidoa,R1720074,0,0,1899,342,0,0
January,Diinsoor,R1720101,0,0,1862,335,0,0
January,Belet Xaawo,R1720080,0,0,2191,394,1100,198
January,Doolow,R1720102,0,0,1665,300,0,0
January,Elwak,R1720103,0,0,0,0,0,0
January,Luuq,R1720123,0,0,1482,267,0,0
January,Baardheere,R1720072,0,0,0,0,0,0
January,Garbahaarey,R1720108,0,0,2117,381,0,0
January,Afmadow,R1720071,1360,245,0,0,4003,721
January,Kismaayo,R1720118,0,0,0,0,0,0
January,Badhaadhe,R1720073,0,0,0,0,0,0
February,Caluula,R1720093,587,106,888,160,0,0
February,Bandarbeyla,R1720077,534,96,700,126,1520,274
February,Bossaso,R1720083,2268,408,6207,1117,7160,1289
February,Qardho,R1720129,1478,266,1352,243,4200,756
February,Iskushuban,R1720112,877,158,1014,183,2587,466
February,Qandala,R1720127,188,34,0,0,0,0
February,Burtinle,R1720087,1164,210,991,178,1440,259
February,Dangorayo,R1720109,794,143,0,0,1460,263
February,Eyl,R1720104,935,168,690,124,2100,378
February,Garoowe,R1720109,2320,418,1517,273,5124,922
February,Baki,R1720075,685,123,1850,333,0,0
February,Borama,R1720082,2148,387,5315,957,0,0
February,Lughaye,R1720122,1137,205,2460,443,0,0
February,Zeylac,R1720142,570,103,2591,466,0,0
February,Buuhoodle,R1720088,484,87,10250,1845,0,0
February,Burco,R1720086,2534,456,8191,1474,0,0
February,Owdweyne,R1720126,200,36,872,157,0,0
February,Sheikh,R1720134,426,77,1241,223,0,0
February,Ceel Afweyn,R1720095,440,79,1473,265,0,0
February,Laasqoray,R1720121,0,0,0,0,0,0
February,Ceerigaabo,R1720099,835,150,2132,384,0,0
February,Badhan,R1720099,989,178,4035,726,0,0
February,Dhahar,R1720095,612,110,4038,727,0,0
February,Caynabo,R1720094,640,115,1080,194,0,0
February,Xudun,R1720140,110,20,1844,332,0,0
February,Laas Caanood,R1720120,1839,331,5983,1077,0,0
February,Taleex,R1720135,20,4,3264,588,0,0
February,Berbera,R1720081,1162,209,3270,589,0,0
February,Gebiley,R1720105,2592,467,4689,844,0,0
February,Hargeysa,R1720110,5888,1060,13937,2509,0,0
February,Jariiban,R1720115,1123,202,1457,262,0,0
February,Galdogob,R1720106,1062,191,1620,292,0,0
February,Gaalkacyo,R1720107,3985,717,4603,829,2100,378
February,Hobyo,R1720111,1300,234,710,128,700,126
February,Baardheere,R1720072,3653,658,0,0,0,0
February,Belet weyne,R1720079,1987,358,2399,432,2100,378
February,Bulo Burto,R1720085,0,0,0,0,0,0
February,Matabaan,R1720079,1827,329,1201,216,0,0
February,Cabudwaaq,R1720090,0,0,0,0,0,0
February,Balanbale,R1720090,0,0,0,0,0,0
February,Cadaado,R1720091,1040,187,0,0,0,0
February,Dhuusamarreeb,R1720100,1531,276,1250,225,0,0
February,Guriceel,R1720098,1797,323,0,0,0,0
February,Herale,R1720090,0,0,0,0,0,0
February,Cabdlcasiis,R1720144,242,44,0,0,0,0
February,Boondheere,R1720143,315,57,0,0,0,0
February,Daynile,R1720145,1270,229,0,0,0,0
February,Dharkenley,R1720146,843,152,0,0,0,0
February,Xamar Jaabjab,R1720156,485,87,4464,804,0,0
February,Xamar Weyne,R1720157,261,47,2763,497,0,0
February,Hawl Wadaag,R1720147,0,0,0,0,0,0
February,Heliwa,R1720148,1255,226,0,0,0,0
February,Hodan,R1720149,1432,258,0,0,0,0
February,Karaan,R1720150,1022,184,0,0,0,0
February,Shibis,R1720152,510,92,0,0,0,0
February,Shangaani,R1720151,328,59,0,0,0,0
February,Waaberi,R1720153,328,59,3570,643,0,0
February,Wadajir,R1720154,592,107,0,0,0,0
February,Wardhiigleey,R1720155,404,73,3900,702,0,0
February,Yaaqshiid,R1720158,1039,187,12907,2323,0,0
