GWNO,EVENT_ID_CNTY,EVENT_ID_NO_CNTY,period,EVENT_DATE,year,TIME_PRECISION,EVENT_TYPE,ACTOR1,ALLY_ACTOR_1,INTER1,ACTOR2,ALLY_ACTOR_2,INTER2,INTERACTION,COUNTRY,ADMIN1,ADMIN2,ADMIN3,LOCATION,LATITUDE,LONGITUDE,GEO_PRECISION,SOURCE,NOTES,FATALITIES
520,4697RTA,,April 2017,6/4/17,2017,1,Remote violence,AMISOM: African Union Mission in Somalia (2007-),,8,Al Shabaab,,2,28,Somalia,Shabeellaha Hoose,Baraawe,,Baraawe,1.1132,44.0297,1,Dalsan Radio (Mogadishu),Three or four civilians were either killed or wounded in artillery cross fire between Al Shabaab and Amisom troops at Suta Beel which is ten kilometres from Barawe town. The rockets were believed to be aimed at a AMISOM base in Ambareeso. No reported combatant causalities. ,4
520,4698RTA,,April 2017,6/4/17,2017,1,Remote violence,Al Shabaab,,2,Civilians (Somalia),,7,27,Somalia,Shabeellaha Hoose,Marka,,Golweyn,1.6584,44.57998,1,Local Source Project,A civilian vehicle is struck by landmine at Golweyn. Fatalities vary on source: between 8-20 dead. Authorities believe al Shabaab is responsible. A later report asserts 19 died in the blast. (Al Jazeera),19
520,4699RTA,,April 2017,6/4/17,2017,1,Battle-Government regains territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Shabeellaha Hoose,Marka,,Janaale,1.8,44.7,2,Radio Mogadishu ,"Somali National Army troops have retaken four villages from al-Shabab fighters in Janale, including Kibil, Wagale and other 'villages' within Janaale. Reports indicate al Shabaab fled following a brief battle. No report of causalities. ",0
520,4700RTA,,April 2017,6/4/17,2017,1,Battle-Government regains territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Shabeellaha Hoose,Marka,,Kibil,1.75101,44.66703,1,Radio Mogadishu ,"Somali National Army troops have retaken four villages from al-Shabab fighters in Janale, including Kibil, Wagale and other 'villages' within Janaale. Reports indicate al Shabaab fled following a brief battle. No report of causalities. ",0
520,4701RTA,,April 2017,6/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Military Forces of Somalia (2017-),,1,11,Somalia,Banaadir,Mogadisho,,Lido Beach,2.03944,45.36194,1,Local Source Project,Two groups of government soldiers clash at Lido Beach. Motives and resulting causalities not known. ,0
520,4702RTA,,April 2017,6/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Unidentified Armed Group (Somalia),,3,13,Somalia,Banaadir,Mogadisho,,Waaberi,2.01951,45.31,1,Local Source Project,Unidentified armed attackers using pistols shot and killed an SNA soldier at Buulo Eelay neighbourhood in Waberi district. The attackers escaped. The motive behind the killing was unknown.,1
520,4703RTA,,April 2017,6/4/17,2017,1,Violence against civilians,AMISOM: African Union Mission in Somalia (2007-),,8,Civilians (Somalia),,7,78,Somalia,Shabeellaha Hoose,Baraawe,,Warermaleh,1.38539,44.24749,1,Shabelle Media Network  ,"AMISOM forces kill five civilians in Warermaleh, reasons not known. It is not clear if this attack is related to an exchange of gunfire with al Shabaab Suta Beel. ",5
520,4704RTA,,April 2017,7/4/17,2017,1,Remote violence,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Banaadir,Mogadisho,,Wadajir,2.0462,45.33407,1,Local Source Project,"A mortar attack targeted Mogadishu International Airport on 07 April. The rounds landed short of the perimeter of the airport, near a National Intelligence and Security Agency (NISA) checkpoint in Wadajir district. No group has yet claimed responsibility.",0
520,5049RTA,,April 2017,7/4/17,2017,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),,7,37,Somalia,Shabeellaha Hoose,Wanla Weyn,,Yaaq Biri Weyne,2.62947,44.69768,1,Local Source Project,Unidentified gunmen assassinated a former member of the 2016 Electoral College.,1
520,5050RTA,,April 2017,8/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Unidentified Armed Group (Somalia),,3,13,Somalia,Banaadir,Mogadisho,,Bakaara Market,2.04936,45.31986,1,Local Source Project,"08 April, afternoon, Mogadishu: a Somali soldier was assassinated in Bakaara Market.",1
520,5051RTA,,April 2017,8/4/17,2017,1,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Kenya),,8,Al Shabaab,,2,28,Somalia,Jubbada Hoose,Afmadow,,Hosingow,-0.17338,41.26954,1,Local Source Project,"A Shabaab attacked two Kenya Defence Force (KDF) military bases in Hosingow and Koday. Causalities not articulated. Two al Shabaab reported dead in Koday, including a commander. ",0
520,5052RTA,,April 2017,8/4/17,2017,1,Battle-No change of territory,AMISOM: African Union Mission in Somalia (2007-) (Kenya),,8,Al Shabaab,,2,28,Somalia,Jubbada Hoose,Badhaadhe,,Koday,-1.03511,41.97477,1,Local Source Project,"A Shabaab attacked two Kenya Defence Force (KDF) military bases in Hosingow and Koday. Causalities not articulated. Two al Shabaab reported dead in Koday, including a commander. ",2
520,5053RTA,,April 2017,8/4/17,2017,1,Violence against civilians,Unidentified Armed Group (Somalia),,3,Civilians (Somalia),Government of Somalia (2017-),7,37,Somalia,Banaadir,Mogadisho,,Bakaara Market,2.04936,45.31986,1,Local Source Project,"08 April, evening, Mogadishu: a 2016 Electoral Delegate was assassinated in Bakaara Market.",1
520,5054RTA,,April 2017,8/4/17,2017,1,Violence against civilians,Military Forces of Somalia (2017-),,1,Civilians (Somalia),,7,17,Somalia,Banaadir,Mogadisho,,Hodan,2.03333,45.35,1,Local Source Project,"A Somali soldier killed the driver of a minibus at a checkpoint near Hodan’s KPP Junction, reasons not known.",1
520,5055RTA,,April 2017,8/4/17,2017,1,Violence against civilians,Military Forces of Somalia (2017-),,1,Civilians (Somalia),,7,17,Somalia,Shabeellaha Dhexe,Jowhar,,Mahadaay,2.97043,45.53468,1,Local Source Project,A Somali soldier killed a civilian. The motives behind the killing are unknown.,1
520,5056RTA,,April 2017,9/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Banaadir,Mogadisho,,Bakaara Market,2.04936,45.31986,1,Local Source Project,"09 April, 23:30EAT, Bakaara Market, Mogadishu: al Shabaab elements hurled two hand grenades towards a security checkpoint. No causalities reported. The attackers fled from the scene. ",0
520,5057RTA,,April 2017,9/4/17,2017,1,Battle-No change of territory,Military Forces of Somalia (2017-),,1,Al Shabaab,,2,12,Somalia,Banaadir,Mogadisho,,Bakaara Market,2.04936,45.31986,1,Local Source Project,"09 April, 17:00EAT, Bakaara Market, Mogadishu: three Somali soldiers were killed by suspected al Shabaab attackers. ",3
