X,Y,osm_id,name,name_en,is_in_coun,is_in_stat,created_at,updated_at,bb,region,period,date,value
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 3,1/16/2017,26
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 4,1/23/2017,18
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 5,1/30/2017,63
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 6,2/6/2017,28
45.7257239377512,9.10833755598499,R1720067,Togdheer,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"44.6899990000000003,8.0007389999999994,47.0999979999999994,10.1699999999999999",Togdheer,week 7,2/13/2017,103
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 1,1/2/2017,0
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 2,1/9/2017,0
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 3,1/16/2017,0
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 4,1/23/2017,0
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 5,1/30/2017,0
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 6,2/6/2017,0
43.9507741606379,4.20522909776867,R1720052,Bakool,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.8841549999999998,3.2500000000000000,44.7999989999999997,4.9504390000000003",Bakool,week 7,2/13/2017,0
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 1,1/2/2017,1
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 2,1/9/2017,7
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 3,1/16/2017,5
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 4,1/23/2017,3
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 5,1/30/2017,7
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 6,2/6/2017,0
50.1636532659312,10.3062562531452,R1720054,Bari,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"48.8915349999999975,8.2645379999999999,51.5643370000000019,12.1395789999999995",Bari,week 7,2/13/2017,1
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 1,1/2/2017,0
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 2,1/9/2017,0
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 3,1/16/2017,0
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 4,1/23/2017,3
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 5,1/30/2017,0
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 6,2/6/2017,0
43.5664419603972,2.65301429033418,R1720055,Bay,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"42.4000010000000032,1.4600000000000000,44.6899990000000003,3.9199999999999999",Bay,week 7,2/13/2017,0
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 1,1/2/2017,4
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 2,1/9/2017,3
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 3,1/16/2017,2
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 4,1/23/2017,5
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 5,1/30/2017,5
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 6,2/6/2017,6
46.8180794385614,5.03349484884023,R1720056,Galgaduud,None,R192799,None,2015/03/21 12:41:31,2015/03/21 12:41:31,"45.5316279999999978,3.3610410000000002,48.0141599999999968,6.5167050000000000",Galgadud,week 7,2/13/2017,3
