period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,0
June,INGO,Hargeisa,Daraweine - Settlement,WFP3527,9.719863,44.224505,TSFP_U5,35,6,0,0,20,0,4,0,0,329,41,24,346,83,17,0
June,INGO,Hargeisa,Darasalam - Settlement,WFP3529,7.11742,47.15284,TSFP_U5,37,0,0,0,170,0,0,0,0,397,37,170,264,100,0,0
June,INGO,Taleex,Shaxda - TSFP,WFP357,9.17797,48.90337,TSFP_U5,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0,0
June,INGO,Buuhoodle,Balicad - TSFP,WFP36,8.08616,46.75012,TSFP_U5,0,0,0,0,0,0,0,0,0,77,0,0,77,0,0,0
June,LNGO,Shibis,Shibis - TSFP,WFP360,2.037711,45.35,TSFP_U5,237,0,0,0,368,0,0,0,0,2120,237,368,1989,100,0,0
June,LNGO,Ceel Afweyn,Shoodhe  - TSFP,WFP361,10.009707,47.367295,TSFP_U5,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0
June,INGO,BeletWeyne,Sigalow - TSFP,WFP363,4.75727,45.18898,TSFP_U5,110,0,0,0,81,0,0,0,0,700,110,81,729,100,0,0
June,LNGO,Ceel Afweyn,Sincaro  - TSFP,WFP364,9.47695,47.0754,TSFP_U5,0,0,0,0,0,0,0,0,0,94,0,0,94,0,0,0
June,INGO,Garoowe,Sin-ujiif - TSFP,WFP365,8.53713,48.9852,TSFP_U5,47,0,0,0,12,0,0,0,0,748,47,12,783,100,0,0
June,INGO,Doolow,Surgaduud - TSFP,WFP367,4.09584,42.02514,TSFP_U5,13,0,0,0,32,0,0,12,0,83,13,44,52,73,0,0
June,INGO,Cabudwaaq,Dabad - Settlement,WFP3692,6.30619,46.54925,TSFP_U5,32,0,0,0,32,0,0,0,0,402,32,32,402,100,0,0
June,INGO,Taleex,Taleex - MCHN,WFP372,9.14839,48.42077,TSFP_U5,0,0,0,0,0,0,0,0,0,205,0,0,205,0,0,0
June,INGO,Baydhaba,Towfiiq - TSFP,WFP374,3.126929,43.675404,TSFP_U5,83,0,0,0,56,0,0,9,0,182,83,65,200,86,0,0
June,LNGO,Bossaso,Ufeyn - TSFP,WFP378,10.65233,49.75337,TSFP_U5,21,0,0,0,51,0,0,0,0,324,21,51,294,100,0,0
June,INGO,Baydhaba,Wadajir 4 - TSFP,WFP384,3.149063,43.667816,TSFP_U5,77,0,0,0,90,1,0,19,4,202,77,114,165,79,0,0
June,LNGO,Qandala,Balidhidin - TSFP,WFP39,10.87986,50.39222,TSFP_U5,27,0,0,0,81,0,0,0,0,1051,27,81,997,100,0,0
June,INGO,Burco,Dhoqoshay - Settlement,WFP3906,8.51362,45.718,TSFP_U5,87,0,0,0,57,0,0,0,0,258,87,57,288,100,0,0
June,LNGO,Garbahaarey,Dhubaa - Settlement,WFP3909,3.08896,42.2837,TSFP_U5,0,0,0,0,164,0,0,19,7,264,0,190,74,86,0,0
June,INGO,Buuhoodle,Widhwidh - MCHN,WFP392,8.454123,46.706793,TSFP_U5,0,0,0,0,0,0,0,0,0,52,0,0,52,0,0,0
June,LNGO,Iskushuban,Xaafuun - TSFP,WFP396,10.42312,51.26094,TSFP_U5,22,0,0,0,81,0,0,0,0,435,22,81,376,100,0,0
June,INGO,Buuhoodle,Balihadhac  - TSFP,WFP40,8.44057,46.84215,TSFP_U5,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0,0
June,LNGO,Awdal,Dilla - Settlement,WFP4025,9.77942,43.3445,TSFP_U5,47,0,0,0,7,0,0,0,0,195,47,7,235,100,0,0
June,LNGO,Cadaado,Docoley - Settlement,WFP4054,2.57554,45.46053,TSFP_U5,26,0,0,0,67,0,0,0,0,288,26,67,247,100,0,0
June,INGO,Garoowe,Xamur - TSFP,WFP406,8.72209,48.74333,TSFP_U5,66,0,0,0,24,0,2,0,0,50,66,26,90,92,8,0
June,INGO,Garoowe,Xamxamaa - TSFP,WFP407,8.15768,49.05728,TSFP_U5,53,0,0,0,13,0,0,0,0,185,53,13,225,100,0,0
June,INGO,Buuhoodle,Xidhxidh - TSFP,WFP416,8.37355,46.986236,TSFP_U5,0,0,0,0,0,0,0,0,0,77,0,0,77,0,0,0
June,LNGO,Hobyo,Xinbarwaqo - TSFP,WFP417,5.1152,48.34835,TSFP_U5,52,0,0,0,67,0,0,3,2,440,52,72,420,93,0,0
June,LNGO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_U5,19,0,0,0,58,0,0,0,0,522,19,58,483,100,0,0
June,INGO,Burco,Duruqsi - Settlement,WFP4251,8.517696,45.461471,TSFP_U5,3,0,0,0,295,0,5,9,36,1222,3,345,880,86,1,0
June,INGO,Belet Xaawo,Duurey - Settlement,WFP4267,2.95183,43.4108,TSFP_U5,18,0,8,0,13,0,0,2,0,47,26,15,58,87,0,0
June,INGO,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_U5,28,4,0,0,12,0,1,0,0,55,32,13,74,92,8,0
June,INGO,Baki,Baki - TSFP,WFP435,10.2736,43.48375,TSFP_U5,50,0,2,0,63,0,0,0,0,630,52,63,619,100,0,0
June,LNGO,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_U5,9,0,5,0,5,0,3,2,4,205,14,14,205,36,21,0
June,LNGO,Afmadow,afmadow - TSFP,WFP437,0.51486,42.073009,TSFP_U5,32,0,0,0,0,0,3,10,0,550,32,13,569,0,23,0
June,LNGO,Balcad,balcad - TSFP,WFP438,2.649542,45.049142,TSFP_U5,570,0,0,0,62,0,0,0,0,342,570,62,850,100,0,0
June,INGO,Dhuusamarreeb,Eldhere - Part of town,WFP4413,5.53425,46.38446,TSFP_U5,33,0,0,0,35,0,0,0,0,243,33,35,241,100,0,0
June,INGO,Luuq,Ban-Mudule - TSFP,WFP45,3.75773,42.55694,TSFP_U5,13,0,0,0,7,0,0,0,0,68,13,7,74,100,0,0
June,INGO,Gebiley,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_U5,36,0,0,0,27,0,0,0,0,324,36,27,333,100,0,0
June,LNGO,Kismayo,Farjano - Settlement,WFP4532,7.5654,47.79142,TSFP_U5,404,0,4,0,395,1,1,1,0,1118,408,398,1128,99,0,0
June,INGO,Dhuusamarreeb,Dhusamareb town - MCHN,WFP47,5.537643,46.386698,TSFP_U5,115,0,0,0,100,0,0,0,0,836,115,100,851,100,0,0
