period,district,district_id,TSFP,TSFP_dfid,MCHN,MCHN_dfid,BSFP,BSFP_dfid
May,Buur Hakaba,R1720089,0,0,0,0,0,0
May,Balanbale,R1720090,10000,2000,0,0,0,0
May,Cadaado,R1720091,8400,1680,0,0,2500,500
May,Cadale,R1720092,1734,347,0,0,2466,493
May,Caluula,R1720093,3750,750,2056,411,1300,260
May,Caynabo,R1720094,4904,981,1272,254,2721,544
May,Ceel Afweyn,R1720095,14452,2890,5587,1117,7411,1482
May,Ceel Barde,R1720096,3704,741,0,0,5972,1194
May,Ceel Buur,R1720097,0,0,0,0,0,0
May,Ceel Dheer,R1720098,6264,1253,0,0,0,0
May,Badhan,R1720099,16008,3202,7287,1457,2216,443
May,Dhuusamarreeb,R1720100,5636,1127,5000,1000,0,0
May,Diinsoor,R1720101,3504,701,0,0,3000,600
May,Doolow,R1720102,3056,611,0,0,5084,1017
May,Ceel Waaq,R1720103,0,0,0,0,0,0
May,Eyl,R1720104,3824,765,2978,596,2040,408
May,Gebiley,R1720105,9608,1922,3448,690,0,0
May,Galdogob,R1720106,4536,907,3302,660,0,0
May,Gaalkacyo,R1720107,28806,5761,19072,3814,19100,3820
May,Burdhubo,R1720108,4988,998,0,0,2704,541
May,Dangorayo,R1720109,14550,2910,2886,577,4830,966
May,Hargeysa,R1720110,17588,3518,8919,1784,0,0
May,Hobyo,R1720111,8400,1680,8000,1600,2500,500
May,Iskushuban,R1720112,4814,963,2459,492,6154,1231
May,Jalalaqsi,R1720113,0,0,0,0,0,0
May,Jamaame,R1720114,0,0,0,0,0,0
May,Jariiban,R1720115,4720,944,4045,809,0,0
May,Jilib,R1720116,0,0,0,0,0,0
May,Jowhar,R1720117,16228,3246,0,0,7784,1557
May,Kismaayo,R1720118,12858,2572,0,0,16940,3388
May,Kurtunwaarey,R1720119,0,0,0,0,0,0
May,Bo'ame,R1720120,11940,2388,8563,1713,2879,576
May,Laasqoray,R1720121,640,128,0,0,110,22
May,Lughaye,R1720122,4694,939,3052,610,0,0
May,Dhamasa,R1720123,2450,490,0,0,7992,1598
May,Hantiwadag,R1720124,7316,1463,0,0,5684,1137
May,Banadir,R1720125,0,0,0,0,0,0
May,Owdweyne,R1720126,320,64,500,100,0,0
May,Qandala,R1720127,3900,780,810,162,1300,260
May,Qansax Dheere,R1720128,0,0,0,0,0,0
May,Qardho,R1720129,7700,1540,3665,733,4100,820
May,Madulow,R1720130,0,0,0,0,0,0
May,Burdhuhunle,R1720131,1616,323,0,0,1720,344
May,Saakow,R1720132,0,0,0,0,0,0
May,Gomore,R1720133,0,0,0,0,0,0
May,Sheikh,R1720134,800,160,800,160,0,0
May,Taleex,R1720135,1558,312,2520,504,1928,386
May,Tayeeglow,R1720136,0,0,0,0,0,0
May,Waajid,R1720137,1902,380,0,0,2248,450
May,Beletamin ,R1720138,9316,1863,0,0,4552,910
May,Xarardheere,R1720139,7368,1474,0,0,3500,700
May,Xudun,R1720140,2076,415,2608,522,1369,274
May,Aboore,R1720141,2000,400,0,0,3000,600
May,Zeylac,R1720142,900,180,3128,626,0,0
May,Boondheere,R1720143,2028,406,0,0,0,0
May,Cabdlcasiis,R1720144,1464,293,0,0,0,0
May,Daynile,R1720145,21356,4271,6622,1324,0,0
May,Dharkenley,R1720146,7560,1512,9796,1959,0,0
May,Hawl Wadaag,R1720147,2206,441,1950,390,0,0
May,Heliwa,R1720148,3150,630,5562,1112,0,0
May,Hodan,R1720149,7704,1541,1952,390,0,0
May,Karaan,R1720150,7682,1536,0,0,0,0
May,Shangaani,R1720151,1722,344,0,0,0,0
May,Shibis,R1720152,2204,441,0,0,0,0
May,Waaberi,R1720153,1726,345,5176,1035,0,0
May,Wadajir,R1720154,3078,616,4400,880,0,0
May,Wardhiigleey,R1720155,2364,473,4400,880,0,0
May,Xamar JaabJab,R1720156,1764,353,2930,586,0,0
May,Xamar Weyne,R1720157,1368,274,4960,992,0,0
May,Yaaqshiid,R1720158,3720,744,3662,732,0,0
June,Afgooye,R1720070,10111,TBA,0,TBA,6004,TBA
June,Afmadow,R1720071,1877,TBA,0,TBA,8408,TBA
June,Aliyow Munim,R1720074,4144,TBA,0,TBA,14560,TBA
June,Baki,R1720075,1706,TBA,2268,TBA,0,TBA
June,Balcad,R1720076,2250,TBA,0,TBA,6427,TBA
