period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,WVI,Doolow,Unsi - Settlement,WFP9355,4.03703,41.95665,TSFP_PLW,0,0,0,0,13,0,0,0,48,0,13,35,100,0
May,HRDO,Cadaado,Wad - Settlement,WFP9409,8.872857,46.929618,TSFP_PLW,85,0,0,0,0,0,0,0,27,85,0,112,0,0
May,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_PLW,20,0,0,0,0,0,0,0,170,20,0,190,0,0
May,WARDI,Wanla Weyn,Wanle weyn - District Capital,WFP9461,2.61945,44.89357,TSFP_PLW,330,0,0,0,0,0,0,0,925,330,0,1255,0,0
May,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_PLW,196,0,0,0,114,0,0,0,817,196,114,899,100,0
May,Mercy USA,Hobyo,Wargalo - Settlement,WFP9584,6.26335,47.5202,TSFP_PLW,3,0,0,0,2,0,0,0,126,3,2,127,100,0
May,SRCS,Burco,waridaad - Settlement,WFP9589,9.28387,46.25364,TSFP_PLW,36,0,0,0,4,0,0,0,92,36,4,124,100,0
May,WVI,Belet Xaawo,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_PLW,3,0,2,0,4,0,0,0,13,5,4,14,100,0
May,SHARDO,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_PLW,567,0,0,0,90,0,0,0,91,567,90,568,100,0
May,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_PLW,131,0,0,0,42,0,4,6,130,131,52,209,81,8
May,DEH,Hobyo,Xinlabi - Settlement,WFP9923,5.3993,47.64737,TSFP_PLW,12,0,0,0,11,0,0,1,270,12,12,270,92,0
