period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,HADO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_U5,9,0,0,,11,0,1,1,0,49,5,7,162,,
February,SRCS,Xudun,Xudun - MCHN,WFP423,9.154231,47.475393,TSFP_U5,5,0,0,,33,0,0,0,0,101,0,0,0,,
February,WVI,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_U5,206,0,0,,30,0,4,2,0,104,74,28,63,,
February,WVI,Baki,Baki - TSFP,WFP435,10.2736,43.48375,TSFP_U5,39,0,0,,25,0,0,1,0,242,0,0,0,,
February,HIDIG,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_U5,46,11,24,,36,0,7,6,6,165,110,91,244,,
February,SWISSO-kalmo,Dhuusamarreeb,Eldhere - Part of town,WFP4413,5.53425,46.38446,TSFP_U5,34,0,0,,9,0,0,0,0,95,0,0,0,,
February,WVI,Luuq,Ban-Mudule - TSFP,WFP45,3.75773,42.55694,TSFP_U5,59,0,0,,22,0,0,0,0,68,53,30,215,,
February,WVI,Hargeisa,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_U5,30,0,1,0,24,0,0,0,0,375,0,0,0,0,
February,SWISSO-kalmo,Dhuusamarreeb,Dhusamareb Town - MCHN,WFP47,5.537643,46.386698,TSFP_U5,109,0,0,,108,0,0,0,0,296,1025,520,451,,
February,SDRO,Gaalkacyo,Bandiradley - TSFP,WFP48,6.47979,46.945358,TSFP_U5,134,0,0,,33,0,0,0,0,303,0,0,0,,
February,HEAL ,Ceel Afweyn,GAR-ADAG - Settlement,WFP4876,9.487011,46.866926,TSFP_U5,0,0,0,,0,0,0,0,0,233,0,0,0,,
February,WVI,Belet Xaawo,Garbaharey - Regional Capital,WFP4990,3.328,42.219879,TSFP_U5,7,3,1,,3,0,1,0,0,0,30,0,221,,
February,SWISSO-kalmo,Afgooye,Afgooye - TSFP,WFP5,2.14158,45.118698,TSFP_U5,740,242,0,,604,0,0,0,0,2371,0,0,0,,
February,WVI,Lughaye,Gargaara - Settlement,WFP5018,10.313044,43.805888,TSFP_U5,64,0,7,,57,0,0,1,0,207,0,0,0,,
February,WVI,Dan Gorayo,Garmaal - Settlement,WFP5028,8.353708,50.186264,TSFP_U5,7,0,0,,7,0,0,0,0,23,20,0,0,,
February,SCI,Garoowe,Garowe - Regional Capital,WFP5035,8.40635,48.48188,TSFP_U5,0,0,0,,0,0,0,0,0,1101,146,0,149,,
February,SDRA,Gaalkacyo,Garsoor - Settlement,WFP5058,6.766228,47.427875,TSFP_U5,90,0,0,,280,0,0,0,0,781,0,0,0,,
February,WVI,Gebiley,Gabiley - District Capital,WFP5090,9.70577,43.62497,TSFP_U5,136,0,11,,110,0,0,0,0,1043,0,0,0,,
February,WVI,Lughaye,Geerisa - Settlement,WFP5143,10.60353,43.43364,TSFP_U5,27,1,19,,38,0,0,0,0,201,0,0,0,,
February,EPHCO ,Ceel Barde,Abesale - Settlement,WFP526,4.90445,44.5206,TSFP_U5,32,0,0,,0,0,0,0,0,160,100,0,7,,
February,WVI,Dan Gorayo,Baqbaq - TSFP,WFP54,7.82861,49.488331,TSFP_U5,48,0,0,,14,0,0,0,0,15,11,19,54,,
February,RAAS,Garbahaarey,Gubatta - Settlement,WFP5422,4.1345,42.21043,TSFP_U5,0,0,0,,8,0,0,3,3,25,36,79,270,,
February,HADO,Caluula,Bareeda - TSFP,WFP56,11.8702,51.05796,TSFP_U5,46,0,0,,0,0,0,0,0,99,7,14,7,,
February,SCI,Belet Weyne,Hawotako - Settlement,WFP5766,4.742113,45.214151,TSFP_U5,140,0,0,,0,0,0,0,,610,85,18,288,,
February,WVI,CeelWaaq,Hillamarer - Settlement,WFP5803,3.22728,42.49406,TSFP_U5,0,0,0,,0,0,0,0,0,160,140,0,677,,
February,SDO,Galdogob,XEROJAALE - Settlement,WFP5827,6.985543,47.187605,TSFP_U5,0,0,0,,0,0,0,0,0,40,101,0,240,,
February,WVI,Belet Xaawo,Hiirey  - Settlement,WFP5845,4.80724,43.712,TSFP_U5,3,3,1,,61,0,4,1,3,210,0,37,178,,
February,WVI,Eyl,Badey - TSFP,WFP59,7.98566,49.83521,TSFP_U5,11,0,0,,18,0,1,0,0,44,10,0,-128,,
February,WVI,Belet Xaawo,Howlwadaag - Settlement,WFP5919,0.04414,42.703419,TSFP_U5,3,3,1,,127,0,4,1,3,535,0,22,-46,,
February,SCI,Borama,Idhan - Settlement,WFP6001,6.069874,48.98562,TSFP_U5,24,0,0,,0,0,0,0,0,291,0,0,0,,
February,DHO,Diinsoor,Belethawa Township - TSFP,WFP62,3.78074,41.89431,TSFP_U5,78,0,0,,47,0,1,0,0,580,28,3,126,,
February,HEAL ,Hargeisa,AGABAR - Settlement,WFP646,9.92502,43.9194,TSFP_U5,0,0,0,,0,0,0,0,0,194,0,0,0,,
February,SCODO,Laas Caanood,Kalabaydh Lasanod - Settlement,WFP6482,8.242749,47.22691,TSFP_U5,91,0,0,,49,0,0,0,0,152,0,0,0,,
February,WVI,Gebiley,Kalabayidhi - Settlement,WFP6492,9.68069,43.47742,TSFP_U5,40,0,7,,18,0,0,0,0,140,0,0,0,,
February,WVI,Garoowe,B.dheer - TSFP,WFP67,8.25639,48.305828,TSFP_U5,15,0,0,,0,0,0,0,0,0,65,21,158,,
February,WVI,Baidoa,Kormeri - Settlement,WFP6715,3.1508,43.216412,TSFP_U5,82,0,0,,36,0,0,9,0,274,0,0,233,,
February,SRCS,Ceerigaabo,kulmiye - Settlement,WFP6774,3.09322,43.05594,TSFP_U5,36,0,2,,37,0,1,0,0,46,0,0,0,,
