district_id,district,period,target,reached,percent_target,output,instalments,partner,irf_code,ratio_instalment
R1720110,Hargeisa,June,3000,3000,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720112,Iskushuban,June,25868,34936,135,2,N/A,SCI,IRF 4 b,N/A out of 2 payments completed
R1720120,Bocame,June,12626,11386,90,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720129,Raho Raho,June,11381,12286,108,2,2,NRC,IRF 4 b,2 out of 2 payments completed
R1720131,Yeed,June,4200,4200,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720137,Wajid,June,4800,4800,100,2,1,ACF,IRF 4 b,1 out of 2 payments completed
R1720074,Baidoa,July,20200,20200,100,2,4,"CWW, DRC",IRF 4 c,4 out of 2 payments completed
R1720075,Baki,July,15900,15900,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720077,Bandar Bayla ,July,8436,8437,100,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720079,Mataban,July,57339,67206,117,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720080,Belex Hawa ,July,61649,87339,142,2,2,CWW,IRF 4 c/  IRF 4b,2 out of 2 payments completed
R1720083,Bosaso,July,2800,2800,100,2,N/A,DRC,IRF 4 c,N/A out of 2 payments completed
R1720086,Burao ,July,9408,9408,100,2,2,SCI,IRF 4 b,2 out of 2 payments completed
R1720087,Burtinle,July,7866,7866,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720094,Caynabo,July,9474,9474,100,2,2,NRC,IRF 4 c,2 out of 2 payments completed
R1720095,Elafweyn,July,50820,50820,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720099,Erigravo,July,42960,61020,142,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720103,Elwaaq,July,27755,27755,100,2,2,CWW,IRF 4 c,2 out of 2 payments completed
R1720104,Eyl,July,2798,2798,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720107,Galcackyo,July,37954,37954,100,2,3,"Cesvi,DRC",IRF 4 b,3 out of 2 payments completed
R1720109,Dangoriyo,July,4990,4990,100,2,2,NRC,IRF 4 b,2 out of 2 payments completed
R1720110,Hargeisa,July,3000,3000,100,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720112,Iskushuban,July,25868,34936,135,2,N/A,SCI,IRF 4 b,N/A out of 2 payments completed
R1720120,Bocame,July,12626,11386,90,2,2,SCI,IRF 4 c,2 out of 2 payments completed
R1720129,Raho Raho,July,11381,12286,108,2,2,NRC,IRF 4 b,2 out of 2 payments completed
R1720131,Yeed,July,4200,4200,100,2,2,ACF,IRF 4 b,2 out of 2 payments completed
R1720137,Wajid,July,4800,4800,100,2,1,ACF,IRF 4 b,1 out of 2 payments completed
