period,District,site,site_id,partner,latitude,longitude,admissions_SAM,relapses_SAM,readmissions_SAM,upgrades_SAM,downgrades_SAM,defaulters_SAM,successful_SAM,tot_discharges_SAM,perc_recovered_SAM,perc_nonresponding_SAM,perc_defaulters_SAM,admissions_MAM,relapses_MAM,readmissions_MAM,defaulters_MAM,successful_MAM,tot_discharges_MAM,perc_recovered_MAM,perc_nonresponding_MAM,perc_defaulters_MAM,malaria,pneumonia,cholera,IYCF
May,Luuq,Dogob - OTP and TSFP ,SNS527,Trocaire,3.884227,42.482291,36,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Garboloow - OTP/TSFP mobile sites ,SNS528,Trocaire,3.90185,42.510385,28,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Luuq Hospital - SC,SNS529,Trocaire,3.80034,42.544504,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Madhawey - OTP and TSFP,SNS530,Trocaire,3.95101,42.480373,28,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Maganey  - OTP/TSFP mobile sites ,SNS531,Trocaire,3.747227,42.526414,28,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Muradqabe  - OTP/TSFP mobile sites ,SNS532,Trocaire,3.9247,42.47148,17,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Qoney  - TSFP mobile sites ,SNS533,Trocaire,3.64834,42.51026,1,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Shatilow - TSFP,SNS534,Trocaire,3.9055,42.424304,22,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Shidle - OTP and TSFP,SNS535,Trocaire,3.829595,42.563857,9,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Surtag - OTP and TSFP,SNS536,Trocaire,4.0074,42.91823,47,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Taganey  - OTP/TSFP mobile sites ,SNS537,Trocaire,3.835908,42.578937,10,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
May,Luuq,Wariryale - OTP and TSFP,SNS538,Trocaire,3.960255,42.459319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Baidoa ,BAHAHOW hospital  - CTC,SNS607,SCI ,3.137927778,43.65416667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0
May,Baidoa ,Bardaale  - Health center ,SNS243,SCI/GREDO,0.209122,40.8023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Daynunay,Daynunay - CTU,SNS554,SCI/GREDO,3.03985,43.796879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
May,Daynunay,danbala - ORT,SNS555,SCI/GREDO,3.01339,43.51012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
May,Daynunay,Buuloonsiyow - ORT,SNS556,SCI/GREDO,3.05205,43.80739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
May,Hudur ,Hudur CTC - CTC,SNS557,SCI/GREDO,4.113335,43.876109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
May,Hudur ,Wanay - CTU,SNS558,SCI/GREDO,4.07202,43.80566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur ,Banjinaay - ORT,SNS559,SCI/GREDO,4.170805,43.932421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur ,Mabiwaraaabe - ORT,SNS560,SCI/GREDO,4.134332,43.919581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Hudur ,Weerow - ORT,SNS561,SCI/GREDO,4.170805,43.8354662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Baidoa ,Boorama - ORT,SNS563,SCI/GREDO,2.92554,43.70033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Bardale,Morowarabe - ORP,SNS564,SCI/GREDO,3.18055,43.41617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Baidoa ,Awdinle - CTU,SNS565,SCI/GREDO,3.03985,43.797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Bardale,Duurow - ORP,SNS566,SCI/GREDO,3.90888,43.97918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Bardale,Mooshi - ORP,SNS567,SCI/GREDO,3.17297,43.491482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
May,Bardale,Masuubiye - ORP,SNS568,SCI/GREDO,3.17368,43.4933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
June,AbdiAziz,Forlanini - Static Health Facility,SNS1,ACF,2.046349,45.360397,367,3,0,12,0,6,138,156,88,10,4,722,0,0,0,23,23,100,0,0,0,0,0,34
June,Hudur,Hudur Town -  SC,SNS10,ACF,4.12459,43.88765,66,0,1,57,0,1,0,58,0,98,2,19,0,0,0,0,0,0,0,0,0,30,5,86
June,Hudur,Mada warabe  - Mobile OTP Site ,SNS11,ACF,4.13295,43.92216,119,0,0,0,0,5,62,67,93,0,7,315,0,0,0,0,0,0,0,0,4,27,2,160
June,Hudur,Gubud Galole mobile  - Mobile OTP Site ,SNS12,ACF,4.13295,43.92216,60,0,0,0,0,3,48,51,94,0,6,197,0,0,0,0,0,0,0,0,0,15,0,87
June,Hudur,Weerow Mobile Outreach - Mobile OTP Site ,SNS13,ACF,4.17074,43.83483,188,0,0,0,1,5,75,81,93,1,6,410,0,0,0,0,0,0,0,0,2,24,0,61
June,Hudur,Qaydar Ade/Moragabey Mobile  - Mobile OTP Site ,SNS14,ACF,4.18976,43.64093,38,0,0,0,0,0,21,21,100,0,0,45,0,0,0,0,0,0,0,0,1,17,0,65
June,Hudur,Sheikh Aweys Fixed IDP  - Mobile OTP Site ,SNS15,ACF,4.18976,43.64093,65,0,0,0,0,0,18,18,100,0,0,112,0,0,0,0,0,0,0,0,0,15,0,88
