period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
March,WVI,Belethawa,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_U5,18,3,0,,9,0,0,0,0,20,21,9,32,100,0,0
March,WVI,Dan Gorayo,Qundhed - Settlement,WFP8300,8.89492,50.44462,TSFP_U5,8,0,0,,8,0,0,0,0,60,8,8,60,100,0,0
March,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_U5,57,9,21,,33,0,9,13,9,455,87,64,478,52,14,34
March,Mercy USA,Hargeysa,Sabawanag - Settlement,WFP8568,9.04489,44.58108,TSFP_U5,133,0,0,,7,0,1,0,0,253,133,8,378,88,13,0
March,SDO,Galdogob,BURSAALAX - TSFP,WFP86,7.17457,47.24316,TSFP_U5,368,0,0,,0,0,0,0,0,362,368,0,730,0,0,0
March,SDO,Jariiban,SEEMADE - Settlement,WFP8737,6.8771,48.6721,TSFP_U5,203,0,0,,0,0,0,0,0,203,203,0,406,0,0,0
March,Swisso-Kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_U5,79,0,0,,26,0,0,0,0,76,79,26,129,100,0,0
March,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_U5,43,0,0,,31,0,2,3,1,249,43,37,255,84,5,11
March,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_U5,9,0,0,,9,0,0,0,0,60,9,9,60,100,0,0
March,SDRA,Gaalkacyo,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_U5,214,0,0,,127,0,0,0,0,361,214,127,448,100,0,0
March,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_U5,50,0,0,,65,0,0,0,0,1691,50,65,1676,100,0,0
March,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_U5,35,0,0,,33,0,1,1,0,140,35,35,140,94,3,3
March,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_U5,159,0,2,,83,0,1,2,0,199,161,86,274,97,1,2
March,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_U5,85,0,0,,39,0,0,0,0,1685,85,39,1731,100,0,0
March,WVI,Belethawa,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_U5,5,2,4,,15,0,0,0,5,16,11,20,7,75,0,25
March,SHARDO,Cadale,Cadale - TSFP,WFP96,2.7568,46.319,TSFP_U5,503,0,0,,345,0,0,0,0,162,503,345,320,100,0,0
March,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_U5,43,0,0,,26,0,2,3,1,254,43,32,265,81,6,13
March,Mercy USA,Buuhoodle,Xalin  - Settlement,WFP9705,9.10633,48.6392,TSFP_U5,89,0,0,,0,0,0,0,0,,89,0,89,0,0,0
