period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted,perc_non_recovery
April,RAAS,Garbahaarey,Dhubaa - Settlement,WFP3909,3.08896,42.2837,TSFP_PLW,0,0,0,0,0,0,0,0,0,80,0,0,80,0,0,0
April,Mercy USA,Buuhoodle,Widh widh - MCHN,WFP392,8.454123,46.706793,TSFP_PLW,8,0,0,0,0,0,0,0,0,59,8,0,67,0,0,0
April,Mercy USA,Hobyo,Bacadweyn  - TSFP,WFP393,5.32453,47.90805,TSFP_PLW,3,0,0,0,7,0,0,0,0,164,3,7,160,100,0,0
April,HADO,Caluula,Xaabo - MCHN,WFP394,11.52195,50.52195,TSFP_PLW,7,0,0,0,44,0,0,0,0,270,7,44,233,100,0,0
April,HADO,Iskushuban,Xaafuun - TSFP,WFP396,10.42312,51.26094,TSFP_PLW,5,0,0,0,33,0,0,0,0,200,5,33,172,100,0,0
April,Mercy USA,Buuhoodle,Balihadhac  - TSFP,WFP40,8.44057,46.84215,TSFP_PLW,1,0,0,0,0,0,0,0,0,87,1,0,88,0,0,0
April,Mercy USA,Buuhoodle,Xamar lagu xidh - MCHN,WFP400,8.173037,46.502336,TSFP_PLW,0,0,0,0,0,0,0,0,0,57,0,0,57,0,0,0
April,HRDO,Cadaado,Docoley - Settlement,WFP4052,6.1366,46.95448,TSFP_PLW,11,0,0,0,0,0,0,0,0,22,11,0,33,0,0,0
April,WVI,Garowe,Xamur - TSFP,WFP406,8.72209,48.74333,TSFP_PLW,18,0,0,0,5,0,0,0,0,23,18,5,36,100,0,0
April,WVI,Garowe,Xamxamaa - TSFP,WFP407,8.15768,49.05728,TSFP_PLW,85,0,0,0,5,0,0,0,0,43,85,5,123,100,0,0
April,Gewdo,Garbahaarey,Doofarey - Settlement,WFP4084,3.31898,42.25413,TSFP_PLW,9,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0
April,Mercy USA,Cabudwaaq,Herale - TSFP,WFP413,6.02351,45.96333,TSFP_PLW,6,0,0,0,6,0,0,0,0,308,6,6,308,100,0,0
April,Mercy USA,Buuhoodle,Xidhxidh - TSFP,WFP416,8.37355,46.986236,TSFP_PLW,7,0,0,0,0,0,0,0,0,65,7,0,72,0,0,0
April,RAWA,Xarardheere,Dumaye - TSFP,WFP420,4.87728,47.61589,TSFP_PLW,71,0,0,0,45,0,4,6,0,230,71,55,246,82,7,11
April,HADO,Iskushuban,Xiriiro - TSFP,WFP422,9.97824,50.25085,TSFP_PLW,4,0,0,0,12,0,0,0,0,150,4,12,142,100,0,0
April,Mercy USA,Xudun,Hudun - MCHN,WFP423,9.154231,47.475393,TSFP_PLW,0,0,0,0,0,0,0,0,0,72,0,0,72,0,0,0
April,Mercy USA,Taleex,Yibaayil  - TSFP,WFP428,8.99713,48.89067,TSFP_PLW,14,0,0,0,0,0,0,0,0,72,14,0,86,0,0,0
April,WVI,Burtinle,Bahaley - TSFP,WFP434,7.60802,47.50677,TSFP_PLW,8,0,0,0,8,0,0,1,0,30,8,9,29,89,0,11
April,HIDIG,Ceel Barde,Ahmed Korey - TSFP,WFP436,4.88194,44.24083,TSFP_PLW,26,0,23,0,2,0,1,0,0,30,49,3,76,67,33,0
April,SHARDO,Balcad/Warsheikh,BALCAD - TSFP,WFP438,2.649542,45.049142,TSFP_PLW,0,0,0,0,396,0,0,0,0,195,0,396,-201,100,0,0
April,WVI,Garowe,22km - Settlement,WFP439,8.4776,48.65071,TSFP_PLW,16,0,0,0,2,0,0,0,0,26,16,2,40,100,0,0
April,SWISSO-kalmo,Dhuusamarreeb,Eldhere - Settlement,WFP4416,5.23121,46.45075,TSFP_PLW,31,0,0,0,13,0,0,0,0,134,31,13,152,100,0,0
April,WVI,Hargeysa,Farwayne - Settlement,WFP4522,9.33158,43.67031,TSFP_PLW,44,0,0,0,4,0,0,0,0,34,44,4,74,100,0,0
