period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
May,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_U5,43,3,29,0,14,0,5,8,6,595,75,33,637,42,15
May,EPHCO,Rab Dhuure,Aato - Settlement,WFP832,4.6205,43.350201,TSFP_U5,195,0,0,0,194,2,0,1,0,350,195,197,348,98,0
May,WVI,Garoowe,Rabaable - Settlement,WFP8373,7.79972,48.51722,TSFP_U5,5,0,0,0,5,0,0,0,0,35,5,5,35,100,0
May,Mercy USA,Hargeisa,Sabawanag - Settlement,WFP8569,10.52959,44.13137,TSFP_U5,49,0,0,0,28,0,2,0,0,393,49,30,412,93,7
May,WVI,Burtinle,Burtinle - MCHN,WFP87,7.64157,47.83103,TSFP_U5,127,95,0,0,122,0,1,0,0,748,222,123,847,99,1
May,SDO,Jariiban,SEEMADE - Settlement,WFP8737,6.8771,48.6721,TSFP_U5,64,7,0,0,61,0,1,0,2,505,71,64,512,95,2
May,SWISSO-Kalmo,Dhuusamarreeb,Shalaqben - Settlement,WFP8786,5.26156,45.765,TSFP_U5,38,0,0,0,18,0,0,0,0,165,38,18,185,100,0
May,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_U5,204,0,0,0,33,0,3,4,2,312,204,42,474,79,7
May,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_U5,12,0,0,0,11,0,1,0,0,80,12,12,80,92,8
May,HPA,Berbera,Suuqsade - Settlement,WFP9050,9.94136,45.330108,TSFP_U5,54,0,12,0,31,0,2,0,0,419,66,33,452,94,6
May,Mercy USA,Cabudwaaq,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_U5,68,0,0,0,190,0,0,0,0,769,68,190,647,100,0
May,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_U5,0,0,0,0,42,0,0,0,0,1575,0,42,1533,100,0
May,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_U5,29,0,0,0,25,0,2,2,0,180,29,29,180,86,7
May,WVI,Doolow,Unsi - Settlement,WFP9355,4.03703,41.95665,TSFP_U5,8,0,0,0,29,0,2,19,0,151,8,50,109,58,4
May,HRDO,Cadaado,Wad - Settlement,WFP9409,8.872857,46.929618,TSFP_U5,234,0,0,0,0,0,0,0,0,77,234,0,311,0,0
May,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_U5,63,0,6,0,69,0,0,2,0,405,69,71,403,97,0
May,WARDI,Wanla Weyn,Wanle weyn - District Capital,WFP9461,2.61945,44.89357,TSFP_U5,636,2,0,0,616,0,0,0,0,4513,638,616,4535,100,0
May,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_U5,515,0,0,0,210,0,0,0,0,2649,515,210,2954,100,0
May,Mercy USA,Hobyo,Wargalo - Settlement,WFP9584,6.26335,47.5202,TSFP_U5,20,0,0,0,12,0,0,0,0,120,20,12,128,100,0
May,SRCS,Burco,waridaad - Settlement,WFP9589,9.28387,46.25364,TSFP_U5,51,0,0,0,17,0,1,0,0,431,51,18,464,94,6
May,WVI,Belet Xaawo,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_U5,6,3,2,0,11,0,0,1,2,142,11,14,139,79,0
May,SHARDO,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_U5,264,0,0,0,286,0,0,0,0,231,264,286,209,100,0
May,RAWA,Xarardheere,Warshubo - Settlement,WFP9623,5.132,47.432499,TSFP_U5,201,0,0,0,29,0,2,4,2,323,201,37,487,78,5
May,DEH,Hobyo,Xinlabi - Settlement,WFP9923,5.3993,47.64737,TSFP_U5,34,0,0,0,30,0,0,2,2,370,34,34,370,88,0
