X,Y,osm_id,name,name_en,is_in_coun,is_in_stat,cartodb_id,created_at,updated_at,awd_wk1_wk13_district_cumulative_district,awd_wk1_wk13_district_cumulative_live,awd_wk1_wk13_district_cumulative_dead,awd_wk1_wk13_district_cumulative_cfr
42.8391914821548,2.81353799859385,R1720128,Qansax Dheere,None,R192799,R1720055,31,2015/03/21 12:46:20,2015/03/21 12:46:20,Qansax Dheere,449,3,1
49.5065928755249,9.50112054462312,R1720129,Qardho,None,R192799,R1720054,32,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
44.4484825559441,1.93288434808822,R1720130,Qoryooley,None,R192799,R1720060,33,2015/03/21 12:46:20,2015/03/21 12:46:20,Qoryooley,317,1,0.3
43.2106216716367,4.2418824012387,R1720131,Rab Dhuure,None,R192799,R1720052,34,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.4281616108094,9.99151415736742,R1720134,Sheikh,None,R192799,R1720067,37,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
48.5401751271461,9.17845499270489,R1720135,Taleex,None,R192799,R1720066,38,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
44.9055080823991,2.79005096095766,R1720138,Wanle Weyne,None,R192799,R1720060,41,2015/03/21 12:46:20,2015/03/21 12:46:20,Wanla Weyn,726,15,2.1
47.9298107700904,4.74748210904265,R1720139,Xarardheere,None,R192799,R1720063,42,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
47.5064495096361,9.14063344347703,R1720140,Xudun,None,R192799,R1720066,43,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
43.9052774503909,4.18743850492917,R1720141,Xudur,None,R192799,R1720052,44,2015/03/21 12:46:20,2015/03/21 12:46:20,Xudur,530,16,3
43.2905152480516,11.0343660887605,R1720142,Zeylac,None,R192799,R1720051,45,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
46.658644923962,3.46486665603958,R1720069,Adan Yabaal,None,R192799,R1720062,46,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.0904219241357,2.2028590593127,R1720070,Afgooye,None,R192799,R1720060,47,2015/03/21 12:46:20,2015/03/21 12:46:20,Afgooye,169,0,0
41.7850591539756,0.589000432681755,R1720071,Afmadow,None,R192799,R1720059,48,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
41.7047825956103,2.09998854028045,R1720072,Baardheere,None,R192799,R1720057,49,2015/03/21 12:46:20,2015/03/21 12:46:20,Baardheere,528,5,0.9
43.6383531641759,3.2648080582597,R1720074,Baidoa,None,R192799,R1720055,51,2015/03/21 12:46:20,2015/03/21 12:46:20,Baydhaba,8161,147,27.2
43.8006552465625,10.3351041709375,R1720075,Baki,None,R192799,R1720051,52,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.7332185226229,2.43006136750878,R1720076,Balcad,None,R192799,R1720062,53,2015/03/21 12:46:20,2015/03/21 12:46:20,Balcad,259,2,2.7
50.4224556871301,9.18603749549336,R1720077,Bandarbayla,None,R192799,R1720054,54,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
43.96808872152,1.06392233073058,R1720078,Baraawe,None,R192799,R1720060,55,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.3793554209029,4.72442511628975,R1720079,Belet Weyne,None,R192799,R1720058,56,2015/03/21 12:46:20,2015/03/21 12:46:20,Belet Weyne,275,2,0.7
41.727916687446,3.43502735848157,R1720080,Belet Xaawo,None,R192799,R1720057,57,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.2379535267025,10.461768680605,R1720081,Berbera,None,R192799,R1720068,58,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
47.0356961566792,6.12942965840972,R1720091,Cadaado,None,R192799,R1720056,68,2015/03/21 12:46:20,2015/03/21 12:46:20,Cadaado,168,5,3
43.167139995827,10.1875204075359,R1720082,Borama,None,R192799,R1720051,59,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
49.3731191442836,10.9940284219158,R1720083,Bossaso,None,R192799,R1720054,60,2015/03/21 12:46:20,2015/03/21 12:46:20,Bossaso,279,5,1.8
42.7398881796501,1.19624674620582,R1720084,Bu'aale,None,R192799,R1720061,61,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
45.5372916599735,3.89744214930023,R1720085,Bulo Burti,None,R192799,R1720058,62,2015/03/21 12:46:20,2015/03/21 12:46:20,Bulo Burto,10,0,0
45.7576695850832,9.14135468752724,R1720086,Burco,None,R192799,R1720067,63,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
48.397308532345,7.80107362418193,R1720087,Burtinle,None,R192799,R1720064,64,2015/03/21 12:46:20,2015/03/21 12:46:20,Burtinle,98,1,1
46.6602597243478,8.45924277009947,R1720088,Buuhoodle,None,R192799,R1720067,65,2015/03/21 12:46:20,2015/03/21 12:46:20,Buuhoodle,88,13,14.8
44.0059388745337,2.48375206591723,R1720089,Buur Hakaba,None,R192799,R1720055,66,2015/03/21 12:46:20,2015/03/21 12:46:20,Buur Hakaba,784,22,7.2
46.1224045563843,5.82519946509697,R1720090,Cabudwaaq,None,R192799,R1720056,67,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
46.3266890127467,3.00380708374642,R1720092,Cadale,None,R192799,R1720062,69,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
50.8521250378936,11.7599179935715,R1720093,Caluula,None,R192799,R1720054,70,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
46.4890840879799,9.28137444854209,R1720094,Caynabo,None,R192799,R1720066,71,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
46.6574370601788,10.2158710664121,R1720095,Ceel Afweyn,None,R192799,R1720065,72,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
43.9961766423594,4.6691030162892,R1720096,Ceel Barde,None,R192799,R1720052,73,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
46.8405699879501,4.7590774262561,R1720097,Ceel Buur,None,R192799,R1720056,74,2015/03/21 12:46:20,2015/03/21 12:46:20,,,,
