region_name,region_osm_id,district_name,district_osm_id,pop_2,pop_3,pop_4,pop_3_4,ipc_3_4,ipc_4_eme,ipc_3_cri,ipc_2_str,population
Gedo,R1720057,Garbahaarey,R1720108,0.25,0.22,0.2,0.42,332000,160000,172000,199000,792182
Gedo,R1720057,Luuq,R1720123,0.25,0.22,0.2,0.42,332000,160000,172000,199000,792182
Hiraan,R1720058,Belet Weyne,R1720079,0.35,0.23,0.01,0.24,138000,8000,130000,201000,569434
Hiraan,R1720058,Bulo Burto,R1720085,0.35,0.23,0.01,0.24,138000,8000,130000,201000,569434
Hiraan,R1720058,Jalalaqsi,R1720113,0.35,0.23,0.01,0.24,138000,8000,130000,201000,569434
Juba Dhexe,R1720061,Bu'aale,R1720084,0.32,0.17,0,0.18,89000,1000,88000,161000,508403
Juba Dhexe,R1720061,Jilib,R1720116,0.32,0.17,0,0.18,89000,1000,88000,161000,508403
Juba Dhexe,R1720061,Saakow,R1720132,0.32,0.17,0,0.18,89000,1000,88000,161000,508403
Juba Hoose,R1720059,Afmadow,R1720071,0.12,0.4,0.04,0.44,230000,23000,207000,62000,520686
Juba Hoose,R1720059,Badhaadhe,R1720073,0.12,0.4,0.04,0.44,230000,23000,207000,62000,520686
Juba Hoose,R1720059,Jamaame,R1720114,0.12,0.4,0.04,0.44,230000,23000,207000,62000,520686
Juba Hoose,R1720059,Kismaayo,R1720118,0.12,0.4,0.04,0.44,230000,23000,207000,62000,520686
Mudug,R1720063,Gaalkacyo,R1720107,0.25,0.18,0,0.18,87000,1000,86000,123000,489307
Mudug,R1720063,Galdogob,R1720106,0.25,0.18,0,0.18,87000,1000,86000,123000,489307
Mudug,R1720063,Hobyo,R1720111,0.25,0.18,0,0.18,87000,1000,86000,123000,489307
Mudug,R1720063,Jariiban,R1720115,0.25,0.18,0,0.18,87000,1000,86000,123000,489307
Mudug,R1720063,Xarardheere,R1720139,0.25,0.18,0,0.18,87000,1000,86000,123000,489307
Nugaal,R1720064,Burtinle,R1720087,0.29,0.17,0.01,0.17,210000,10000,200000,352000,1202219
Nugaal,R1720064,Eyl,R1720104,0.29,0.17,0.01,0.17,210000,10000,200000,352000,1202219
Nugaal,R1720064,Garoowe,R1720109,0.29,0.17,0.01,0.17,210000,10000,200000,352000,1202219
Sanaag,R1720065,Ceel Afweyn,R1720095,0.16,0.39,0,0.4,286000,3000,283000,114000,717862
Sanaag,R1720065,Ceerigaabo,R1720099,0.16,0.39,0,0.4,286000,3000,283000,114000,717862
Sanaag,R1720065,Laasqoray,R1720121,0.16,0.39,0,0.4,286000,3000,283000,114000,717862
Shabelle Dhexe,R1720062,Adan Yabaal,R1720069,0.26,0.14,0,0.14,70000,0,70000,135000,516035
Shabelle Dhexe,R1720062,Balcad,R1720076,0.26,0.14,0,0.14,70000,0,70000,135000,516035
Shabelle Dhexe,R1720062,Cadale,R1720092,0.26,0.14,0,0.14,70000,0,70000,135000,516035
Shabelle Dhexe,R1720062,Jowhar,R1720117,0.26,0.14,0,0.14,70000,0,70000,135000,516035
