period,partner,district,site,site_id,latitude,longitude,program,MUAC ,OTP_discharges,other_SFP_returned_defaulters,old_cases_SC_OTP,cured,died,defaulter,non_cured,transfer_SC_OTP,total_beginning_month,total_admissions,total_discharges,total_endmonth,perc_recovered,perc_defaulted
February,SCI,Mataban,Omad - Settlement,WFP7974,5.00533,45.47373,TSFP_PLW,14,0,0,0,4,0,0,0,0,83,14,4,93,100,0
February,SRCS,Caynabo,OOG - Settlement,WFP7990,8.934069,46.617513,TSFP_PLW,28,0,0,0,5,0,0,0,0,190,28,5,213,100,0
February,WVI,Luuq,Airport Area - TSFP,WFP8,3.806398,42.547561,TSFP_PLW,8,0,2,0,18,0,1,1,0,40,10,20,30,90,5
February,WVI,Doolow,Qansaxley - Settlement,WFP8123,2.58504,45.00872,TSFP_PLW,29,0,0,0,15,0,2,0,0,95,29,17,107,88,12
February,SDRO,Gaalkacyo,Qarqoora  - Settlement,WFP8152,6.74718,47.69378,TSFP_PLW,22,0,10,0,10,0,0,0,0,105,32,10,127,100,0
February,WVI,Belet Xaawo,Buniyo - TSFP,WFP82,3.5444,41.85122,TSFP_PLW,0,0,0,0,0,0,0,0,0,80,0,0,80,0,0
February,SRCS,Burco,Qorilugud - Settlement,WFP8245,8.552813,46.223893,TSFP_PLW,198,0,0,0,7,0,0,0,0,112,198,7,303,100,0
February,SCI,Borama,Quljed - Settlement,WFP8291,10.09149,43.00922,TSFP_PLW,9,0,0,0,9,0,0,0,0,27,9,9,27,100,0
February,HIDIG,Ceel Barde,Quracjome - Settlement,WFP8310,4.9439,44.30128,TSFP_PLW,0,0,0,0,0,0,0,0,0,99,0,0,99,0,0
February,EPHCO,Rab Dhuure,Aato - Settlement,WFP832,4.6205,43.350201,TSFP_PLW,45,0,0,0,0,0,0,0,0,23,45,0,68,0,0
February,WVI,Garoowe,Reemanti - Settlement,WFP8444,7.806736,48.523262,TSFP_PLW,9,0,6,0,0,0,6,0,0,52,15,6,61,0,100
February,Mercy USA,Hargeisa,Sabawanag - Settlement,WFP8569,10.52959,44.13137,TSFP_PLW,30,0,0,0,27,0,0,0,0,100,30,27,103,100,0
February,WVI,Hargeisa,Salahlaye - Settlement,WFP8622,9.02686,44.20228,TSFP_PLW,43,0,1,0,0,0,0,0,0,170,44,0,214,0,0
February,EPHCO,Ceel Barde,Salkudhooble  - Settlement,WFP8632,4.90952,43.99175,TSFP_PLW,5,0,0,0,0,0,0,0,0,40,5,0,45,0,0
February,SCI,Borama,Sh Ali - Settlement,WFP8747,6.687049,47.305752,TSFP_PLW,0,0,0,0,0,0,0,0,0,64,0,0,64,0,0
February,RAWA,Xarardheere,Caad - TSFP,WFP90,5.018489,47.982327,TSFP_PLW,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0
February,WVI,Dan Gorayo,Suuj - Settlement,WFP9044,8.68593,50.36265,TSFP_PLW,2,0,0,0,6,0,0,0,0,252,2,6,248,100,0
February,SDRA,Gaalkacyo,Tawakal - Settlement,WFP9092,4.88902,45.04633,TSFP_PLW,0,0,0,0,0,0,0,0,0,69,0,0,69,0,0
February,HRDO,Cadaado,Bahdo - TSFP,WFP93,5.78938,47.2258,TSFP_PLW,10,0,0,0,9,0,0,0,0,22,10,9,23,100,0
February,WVI,Dan Gorayo,Usgure - Settlement,WFP9344,7.518322,49.416017,TSFP_PLW,28,0,0,0,8,0,0,0,0,110,28,8,130,100,0
February,WVI,Doolow,unsi - Settlement,WFP9355,4.373,41.95665,TSFP_PLW,10,0,0,0,14,0,0,0,0,90,10,14,86,100,0
February,WVI,Gebiley,Wajaale - Settlement,WFP9432,9.60272,43.33481,TSFP_PLW,10,0,0,0,5,0,0,0,0,50,10,5,55,100,0
February,HRDO,Cadaado,Cadaado - TSFP,WFP95,6.131423,46.625464,TSFP_PLW,0,0,0,0,0,0,0,0,0,470,0,0,470,0,0
February,SRCS,Caynabo,waridaad - Settlement,WFP9589,9.28387,46.25364,TSFP_PLW,59,0,0,0,37,0,0,0,0,0,59,37,22,100,0
February,WVI,Belet Xaawo,Wariiryale - Settlement,WFP9598,3.90174,41.95904,TSFP_PLW,159,0,0,0,87,0,0,0,0,312,159,87,384,100,0
February,SHARDO ,Cadale,CADALE - TSFP,WFP96,2.7568,46.319,TSFP_PLW,84,0,0,0,110,0,3,0,0,543,84,113,514,97,3
February,DEH,Hobyo,Xinlabi - Settlement,WFP9923,5.3993,47.64737,TSFP_PLW,416,0,38,0,82,0,4,0,0,93,454,86,461,95,5
